source_relpath,source_filename,source_modality,source_group,source_split_folder,assigned_split,split_strategy,sample_name,sample_core_name,protocol_scope,protocol_hint,device,scenario,attack_name,attack_family,attack_variant,is_attack,is_benign,label,source_row_index,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,1,11.2,0.0,0.0,876.3464509089803,0.0,876.3464509089803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.4,11.0,125.7,45.021746031746034,36.11820083200019,59.1,0.0018813848495483,5.5,6.557445406776246,36.11820083200019,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,2,4.2,0.0,0.0,248.51176942015528,0.0,248.51176942015528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.2,9.2,249.0,51.95554688646407,63.12512349102489,40.1,0.0073592185974121,15.5,7.20207651563284,63.12512349102489,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,3,14.0,0.0,0.0,155.69858251574337,0.0,155.69858251574337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.3,8.0,249.0,48.89594741903663,61.08724326024026,45.0,0.0147125959396362,25.5,6.99244976657013,61.08724326024026,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,4,11.2,0.0,0.0,133.54111294952122,0.0,133.54111294952122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.6,8.0,249.0,52.947336333908105,63.133898803634814,76.3,0.0061877965927124,35.5,7.273570716571871,63.133898803634814,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,5,12.6,0.0,0.0,123.36591411693284,0.0,123.36591411693284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.8,8.0,249.0,54.84014265717124,63.79846377975184,63.0,0.0143966913223266,45.5,7.404952335285538,63.79846377975184,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,6,11.2,0.0,0.0,122.45656776089012,0.0,122.45656776089012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3066.9,8.0,249.0,55.25136863679196,64.80149023841986,53.2,0.001178503036499,55.5,7.432785398912648,64.80149023841986,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,7,7.0,0.0,0.0,141.2945205859995,0.0,141.2945205859995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3489.2,8.0,249.0,53.33240384675658,64.07044091252182,21.3,0.000969910621643,65.5,7.302250730084651,64.07044091252182,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,8,8.4,0.0,0.0,146.02837585828655,0.0,146.02837585828655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.1,8.0,249.0,52.20708255946096,64.38362781180756,51.6,0.0085260868072509,75.5,7.225239038286615,64.38362781180756,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,9,0.0,0.0,0.0,152.696324673059,0.0,152.696324673059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175.8,8.0,249.0,48.88176333923069,61.90001659085601,13.2,0.0014391183853149,85.5,6.990977655732247,61.90001659085601,0.0,0.0,0.0
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,Bluetooth_Benign_test.pcap.csv,bluetooth,attacks,test,test,folder,Bluetooth_Benign_test,Bluetooth_Benign,bluetooth,bluetooth,Bluetooth_Device,Attack,Bluetooth_Benign,Benign,Bluetooth_Benign,0,1,0,10,4.2,0.0,0.0,142.89664764587744,0.0,142.89664764587744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4579.1,8.0,251.6,47.95927942425693,63.795001875822834,63.2,0.1359636783599853,95.5,6.924976479634172,63.795001875822834,0.0,0.0,0.0
