protocol_hint,feature,lower_bound,upper_bound,is_locked,lock_reason,sample_rows,sample_min,sample_max,sample_p_low,sample_p_high,sample_unique_count
wifi,Header_Length,0.0,1819320.7075000035,0,,300000,0.0,9889504.0,0.0,1819320.7075000035,88684
wifi,Protocol Type,1.0,17.0,1,semantic,300000,0.0,17.0,1.0,17.0,565
wifi,Duration,54.0,104.80000305175781,0,,300000,0.0,255.0,54.0,104.80000305175781,1997
wifi,Rate,0.0,182361.046875,0,,300000,0.0,2097152.0,0.0,182361.046875,216951
wifi,Srate,0.0,182361.046875,0,,300000,0.0,2097152.0,0.0,182361.046875,216951
wifi,Drate,0.0,0.0,1,auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
wifi,fin_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.8999999761581421,0.0,0.0,11
wifi,syn_flag_number,0.0,1.0,1,semantic,300000,0.0,1.0,0.0,1.0,111
wifi,rst_flag_number,0.0,0.7799999713897705,1,semantic,300000,0.0,1.0,0.0,0.7799999713897705,110
wifi,psh_flag_number,0.0,0.5,1,semantic,300000,0.0,1.0,0.0,0.5,60
wifi,ack_flag_number,0.0,1.0,1,semantic,300000,0.0,1.0,0.0,1.0,116
wifi,ece_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.10000000149011612,0.0,0.0,3
wifi,cwr_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.10000000149011612,0.0,0.0,3
wifi,ack_count,0.0,0.0,0,,300000,0.0,5.0,0.0,0.0,40
wifi,syn_count,0.0,2.0,0,,300000,0.0,6.0,0.0,2.0,271
wifi,fin_count,0.0,1.0,0,,300000,0.0,8.0,0.0,1.0,135
wifi,rst_count,0.0,3917.615097656264,0,,300000,0.0,21667.5,0.0,3917.615097656264,14634
wifi,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,1.0,0.0,0.0,18
wifi,HTTPS,0.0,0.5299999713897705,1,semantic,300000,0.0,1.0,0.0,0.5299999713897705,104
wifi,DNS,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.800000011920929,0.0,0.0,20
wifi,Telnet,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.10000000149011612,0.0,0.0,3
wifi,SMTP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.10000000149011612,0.0,0.0,3
wifi,SSH,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.8999999761581421,0.0,0.0,4
wifi,IRC,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.10000000149011612,0.0,0.0,3
wifi,TCP,0.0,1.0,1,semantic,300000,0.0,1.0,0.0,1.0,112
wifi,UDP,0.0,1.0,1,semantic,300000,0.0,1.0,0.0,1.0,117
wifi,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.6000000238418579,0.0,0.0,8
wifi,ARP,0.0,0.0,1,semantic,300000,0.0,1.0,0.0,0.0,32
wifi,ICMP,0.0,1.0,1,semantic,300000,0.0,1.0,0.0,1.0,109
wifi,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.5,0.0,0.0,7
wifi,IPv,1.0,1.0,1,semantic,300000,0.0,1.0,1.0,1.0,32
wifi,LLC,1.0,1.0,1,semantic,300000,0.0,1.0,1.0,1.0,32
wifi,Tot sum,368.20001220703125,5499.056000976615,0,,300000,81.0,45911.0,368.20001220703125,5499.056000976615,22753
wifi,Min,42.0,150.0,0,,300000,42.0,2962.0,42.0,150.0,3085
wifi,Max,42.0,1252.0,0,,300000,42.0,5858.0,42.0,1252.0,10490
wifi,AVG,42.0,547.8842834472671,0,,300000,42.0,2962.0,42.0,547.8842834472671,40327
wifi,Std,0.0,320.896620178223,0,,300000,0.0,1494.8856201171875,0.0,320.896620178223,38474
wifi,Tot size,42.0,547.801987915041,0,,300000,42.0,3396.39990234375,42.0,547.801987915041,8165
wifi,IAT,0.00010828876780578869,170006752.0,0,,300000,0.0,170118336.0,0.00010828876780578869,170006752.0,8323
wifi,Number,5.5,13.5,0,,300000,1.5,15.0,5.5,13.5,87
wifi,Magnitue,9.165151596069336,31.676303424835226,0,,300000,9.165151596069336,76.967529296875,9.165151596069336,31.676303424835226,39868
wifi,Radius,0.0,453.3578802490238,0,,300000,0.0,2119.03857421875,0.0,453.3578802490238,37332
wifi,Covariance,0.0,122866.45007812505,0,,300000,0.0,2249634.5,0.0,122866.45007812505,37410
wifi,Variance,0.0,1.0,0,,300000,0.0,1.0,0.0,1.0,125
wifi,Weight,38.5,244.60000610351562,0,,300000,2.5,244.60000610351562,38.5,244.60000610351562,90
mqtt,Header_Length,113.52999877929688,851701.74375,0,,300000,0.0,9308826.0,113.52999877929688,851701.74375,204355
mqtt,Protocol Type,3.5999999046325684,7.099999904632568,1,semantic,300000,0.0,12.600000381469727,3.5999999046325684,7.099999904632568,65
mqtt,Duration,38.400001525878906,70.4000015258789,0,,300000,0.0,248.6999969482422,38.400001525878906,70.4000015258789,396
mqtt,Rate,0.007145955213345589,108050.3403125001,0,,300000,0.0,1764522.25,0.007145955213345589,108050.3403125001,271418
mqtt,Srate,0.007145955213345589,108050.3403125001,0,,300000,0.0,1764522.25,0.007145955213345589,108050.3403125001,271418
mqtt,Drate,0.0,0.0,1,auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,fin_flag_number,0.0,0.41999998688697815,1,semantic,300000,0.0,1.0,0.0,0.41999998688697815,205
mqtt,syn_flag_number,0.0,0.4699999988079071,1,semantic,300000,0.0,1.0,0.0,0.4699999988079071,229
mqtt,rst_flag_number,0.0,0.550000011920929,1,semantic,300000,0.0,1.0,0.0,0.550000011920929,243
mqtt,psh_flag_number,0.0,0.8999999761581421,1,semantic,300000,0.0,1.0,0.0,0.8999999761581421,266
mqtt,ack_flag_number,0.33000001311302185,1.0,1,semantic,300000,0.0,1.0,0.33000001311302185,1.0,256
mqtt,ece_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,cwr_flag_number,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.009999999776482582,0.0,0.0,2
mqtt,ack_count,0.0,1.8799999952316284,0,,300000,0.0,3.5799999237060547,0.0,1.8799999952316284,492
mqtt,syn_count,0.0,3.109999895095825,0,,300000,0.0,4.75,0.0,3.109999895095825,623
mqtt,fin_count,0.0,12.869999885559082,0,,300000,0.0,145.11000061035156,0.0,12.869999885559082,2414
mqtt,rst_count,1.190000057220459,9777.300810546876,0,,300000,0.0,11263.7998046875,1.190000057220459,9777.300810546876,75441
mqtt,HTTP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,1.0,0.0,0.0,15
mqtt,HTTPS,0.0,0.20000000298023224,1,semantic,300000,0.0,1.0,0.0,0.20000000298023224,69
mqtt,DNS,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.5,0.0,0.0,10
mqtt,Telnet,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,SMTP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,SSH,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,IRC,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,TCP,0.6000000238418579,1.0,1,semantic,300000,0.0,1.0,0.6000000238418579,1.0,22
mqtt,UDP,0.0,0.10000000149011612,1,semantic|auto_low_cardinality,300000,0.0,0.6000000238418579,0.0,0.10000000149011612,14
mqtt,DHCP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.009999999776482582,0.0,0.0,2
mqtt,ARP,0.0,0.4000000059604645,1,semantic|auto_low_cardinality,300000,0.0,1.0,0.0,0.4000000059604645,19
mqtt,ICMP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.0,0.0,0.0,1
mqtt,IGMP,0.0,0.0,1,semantic|auto_low_cardinality,300000,0.0,0.019999999552965164,0.0,0.0,3
mqtt,IPv,0.6000000238418579,1.0,1,semantic|auto_low_cardinality,300000,0.0,1.0,0.6000000238418579,1.0,19
mqtt,LLC,0.6000000238418579,1.0,1,semantic|auto_low_cardinality,300000,0.0,1.0,0.6000000238418579,1.0,19
mqtt,Tot sum,363.3999938964844,9415.284267578128,0,,300000,66.0,23207.80078125,363.3999938964844,9415.284267578128,45661
mqtt,Min,42.0,388.9607916259773,0,,300000,42.0,1514.0,42.0,388.9607916259773,16122
mqtt,Max,66.91999816894531,1457.8399658203125,0,,300000,43.79999923706055,1514.0,66.91999816894531,1457.8399658203125,22731
mqtt,AVG,61.19079383850098,950.572376098633,0,,300000,42.18000030517578,1514.0,61.19079383850098,950.572376098633,208378
mqtt,Std,0.34884846210479736,471.1239627075196,0,,300000,0.0,710.5352783203125,0.34884846210479736,471.1239627075196,219212
mqtt,Tot size,61.02000045776367,930.4900903320313,0,,300000,43.79999923706055,1514.0,61.02000045776367,930.4900903320313,22874
mqtt,IAT,1.3709068298339844e-05,170084928.0,0,,300000,0.0,170118144.0,1.3709068298339844e-05,170084928.0,8219
mqtt,Number,5.5,13.5,0,,300000,1.0,15.0,5.5,13.5,89
